INTTK int
MAINTK main
LPARENT (
RPARENT )
LBRACE {
RETURNTK return
MINU -
MINU -
PLUS +
MINU -
MINU -
MINU -
PLUS +
INTCON 1
MULT *
PLUS +
INTCON 2
MULT *
MINU -
MINU -
MINU -
PLUS +
PLUS +
INTCON 3
PLUS +
INTCON 4
PLUS +
MINU -
MINU -
PLUS +
PLUS +
PLUS +
INTCON 5
PLUS +
INTCON 6
PLUS +
MINU -
MINU -
MINU -
PLUS +
MINU -
MINU -
INTCON 7
MULT *
INTCON 8
PLUS +
MINU -
MINU -
MINU -
MINU -
PLUS +
PLUS +
MINU -
MINU -
INTCON 9
MULT *
PLUS +
PLUS +
PLUS +
PLUS +
PLUS +
PLUS +
INTCON 10
MULT *
MINU -
MINU -
MINU -
MINU -
MINU -
INTCON 11
SEMICN ;
RBRACE }
